"simid","pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"7",0,0,3566.58048424543,2,5.05649485476879,3.05649485476879,5.05649485476879,5.05649485476879,"Size=2,D=0.005"
"9",0,857.080677655003,2933.45159068196,2,5.02895867484919,3.02895867484919,5.02895867484919,5.02895867484919,"Size=2,D=0.005"
"10",0,123.682119651777,2930.42551796649,2,5.00042374736264,3.00042374736264,5.00042374736264,5.00042374736264,"Size=2,D=0.005"
"11",1,0,523.524613934358,2,5.01629513618744,3.01629513618745,5.01629513618744,5.01629513618744,"Size=2,D=0.005"
"14",0,421.634415518438,1592.654589869,2,6.07374930278946,4.07374930278946,6.07374930278946,6.07374930278946,"Size=2,D=0.005"
"19",1,1002.47547858041,2000.51310534937,3,6.08842436603763,1.08732685814543,4.08732685814543,5.08842436603763,"Size=2,D=0.005"
"20",0,3140.72363265326,1093.70130026861,2,3.25652015132483,2.18031927275553,4.18031927275553,3.25652015132483,"Size=2,D=0.005"
"22",0,1935.47483873311,2311.36478365675,2,5.01433251974108,3.01433251974108,5.01433251974108,5.01433251974108,"Size=2,D=0.005"
"31",0,1511.23473891036,1438.63209990649,2,2.05065487570365,0.050654875703646,2.05065487570365,2.05065487570365,"Size=2,D=0.005"
"32",0,160.69165185121,407.646303291035,3,9.04702787338221,3.04702787338221,6.04702787338221,8.04702787338221,"Size=2,D=0.005"
"35",0,1203.90501462136,2473.67505620919,2,7.03437522305082,5.03437522305082,7.03437522305082,7.03437522305082,"Size=2,D=0.005"
"38",0,867.306417906617,1556.83118883894,3,8.11182951874993,2.11182951874993,5.11182951874993,7.11182951874993,"Size=2,D=0.005"
"39",0,300.194531292053,2644.5914962191,2,5.01243136799603,3.01243136799603,5.01243136799603,5.01243136799603,"Size=2,D=0.005"
"49",0,0,2542.68087660798,2,5.12895610747055,3.12895610747055,5.12895610747055,5.12895610747055,"Size=2,D=0.005"
"50",0,1796.22138627377,2211.33457748559,2,6.09490379210344,4.09490379210344,6.09490379210344,6.09490379210344,"Size=2,D=0.005"
"51",0,3332.10320039416,2121.36580090931,2,5.00373729259522,3.00373729259522,5.00373729259522,5.00373729259522,"Size=2,D=0.005"
"53",0,0,2307.42792779246,2,6.05227883078227,4.05227883078227,6.05227883078227,6.05227883078227,"Size=2,D=0.005"
"58",0,0,1788.30316566391,2,7.00542032103699,5.00542032103699,7.00542032103699,7.00542032103699,"Size=2,D=0.005"
"60",0,0,4175.62298865946,2,3.0039861662712,1.0039861662712,3.0039861662712,3.0039861662712,"Size=2,D=0.005"
"61",0,1217.27661927763,1266.22455808108,2,3.03306937327583,1.03306937327583,3.03306937327583,3.03306937327583,"Size=2,D=0.005"
"65",0,428.057108409234,2135.89618683229,2,8.07724038973548,6.07724038973548,8.07724038973548,8.07724038973548,"Size=2,D=0.005"
"66",0,259.844615760853,1580.67735674104,2,5.01573210421373,3.01573210421373,5.01573210421373,5.01573210421373,"Size=2,D=0.005"
"69",0,1455.99730706307,1537.93564166298,2,6.01872437498935,4.01872437498935,6.01872437498935,6.01872437498935,"Size=2,D=0.005"
"76",0,1581.80750808428,1548.48365772234,2,4.15243516150334,2.15243516150334,4.15243516150334,4.15243516150334,"Size=2,D=0.005"
"83",0,2593.3436914143,3071.10815631445,2,3.04036863202083,1.04036863202083,3.04036863202083,3.04036863202083,"Size=2,D=0.005"
"84",1,1639.44357600546,2051.07053088703,2,7.01599742754592,5.01599742754592,7.01599742754592,7.01599742754592,"Size=2,D=0.005"
"88",0,5136.21897996243,1370.43340192956,2,7.00254389781595,5.00254389781595,7.00254389781595,7.00254389781595,"Size=2,D=0.005"
"100",0,1164.07428931813,2812.94188393818,2,6.01313391512305,4.01313391512305,6.01313391512305,6.01313391512305,"Size=2,D=0.005"
