"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"29",0,1787.35788456038,1783.91233942402,2,23,22,24,23,"Size=2,D=0.005"
"33",0,858.44727428493,2828.81290177898,2,37,35,37,37,"Size=2,D=0.005"
"34",0,2623.18598460881,837.61398813078,2,25,23,25,25,"Size=2,D=0.005"
"40",0,1572.82667917777,2224.05065906427,2,19,17,19,19,"Size=2,D=0.005"
"43",0,1477.57699558846,1826.5978366678,2,28,26,28,28,"Size=2,D=0.005"
"47",0,1120.85341091559,739.622189224465,2,28,26,28,28,"Size=2,D=0.005"
"51",0,87.1439888824111,2472.89967512551,2,16,15,17,16,"Size=2,D=0.005"
"52",0,1452.71160351908,1770.36570652606,2,34,32,34,34,"Size=2,D=0.005"
"54",0,200.155463964586,2115.65267745382,2,32,30,32,32,"Size=2,D=0.005"
"67",0,0,2874.5693401006,2,32,30,32,32,"Size=2,D=0.005"
"68",0,274.285470903786,387.04458035318,2,20,18,20,20,"Size=2,D=0.005"
"69",0,1514.42275647662,675.800203657319,2,22,20,22,22,"Size=2,D=0.005"
"78",0,1173.46655195198,1951.70362291674,2,22,20,22,22,"Size=2,D=0.005"
"86",0,0,3838.58545743683,2,19,17,19,19,"Size=2,D=0.005"
"90",0,4600.49957593055,2062.03335885671,2,53,51,53,53,"Size=2,D=0.005"
"92",0,818.382301001008,1848.30643135217,2,34,32,34,34,"Size=2,D=0.005"
"98",0,2043.83338605373,1496.97157536848,2,11,9,11,11,"Size=2,D=0.005"
"103",0,3476.28879160919,4451.89294882771,2,22,20,22,22,"Size=2,D=0.005"
"106",0,3356.93231072495,1670.41729670192,2,24,22,24,24,"Size=2,D=0.005"
"108",0,1057.10598634535,826.782823055287,2,8,6,8,8,"Size=2,D=0.005"
"116",0,1449.43052388859,1035.98308844832,2,44,42,44,44,"Size=2,D=0.005"
"118",0,444.302727852607,1144.46439682725,2,5,4,6,5,"Size=2,D=0.005"
"129",0,94.4309167193069,976.846855884445,2,38,36,38,38,"Size=2,D=0.005"
"137",0,1587.77096050486,980.709614001386,2,27,25,27,27,"Size=2,D=0.005"
"146",0,601.730984404961,2876.71069257137,2,31,29,31,31,"Size=2,D=0.005"
"151",0,0,2250.59522736049,2,9,7,9,9,"Size=2,D=0.005"
"156",0,0,4885.02264291423,2,19,17,19,19,"Size=2,D=0.005"
"157",0,851.413849847867,2638.38344746485,2,47,45,47,47,"Size=2,D=0.005"
"163",0,1048.37241367577,1260.53037722876,2,43,41,43,43,"Size=2,D=0.005"
"167",0,2359.45582209207,756.841128076889,2,24,22,24,24,"Size=2,D=0.005"
"169",0,878.910236221273,1236.47606261576,2,5,3,5,5,"Size=2,D=0.005"
"171",0,321.809512224044,3345.73501222835,2,18,16,18,18,"Size=2,D=0.005"
"175",0,1216.27066498002,2011.5778720273,2,26,24,26,26,"Size=2,D=0.005"
"176",0,708.236849358655,2273.91024641962,2,22,20,22,22,"Size=2,D=0.005"
"178",1,0,1071.46041725828,2,12,10,12,12,"Size=2,D=0.005"
"180",0,3826.1126071457,1133.18217305687,2,19,17,19,19,"Size=2,D=0.005"
"182",0,1954.42726479,1559.37040823452,2,15,13,15,15,"Size=2,D=0.005"
"184",0,480.33286084121,1388.21849864728,2,7,6,8,7,"Size=2,D=0.005"
"196",0,1783.13710873609,3910.57018914204,2,39,37,39,39,"Size=2,D=0.005"
"197",0,2968.35519988387,2020.195723083,2,31,29,31,31,"Size=2,D=0.005"
"199",0,2266.74205636578,794.57079059736,2,21,19,21,21,"Size=2,D=0.005"
"201",1,2094.76876611518,636.027722704476,2,17,15,17,17,"Size=2,D=0.005"
"206",0,1654.78274699821,1004.90598706528,2,20,18,20,20,"Size=2,D=0.005"
"208",0,233.717322836135,3621.1505100578,2,34,32,34,34,"Size=2,D=0.005"
"217",1,3075.91493299297,480.812624256315,2,26,24,26,26,"Size=2,D=0.005"
