"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"18",0,3118.48740210413,1121.96597453704,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"23",0,2973.85980851511,552.715973339479,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"24",0,1430.67857034716,1228.66084607002,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"29",0,570.916854283259,1615.33633137768,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"56",0,3991.28673196691,334.28294296929,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"65",0,2386.67896400344,2232.28589172047,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"72",0,949.681813866236,2598.0784438961,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"83",1,0,2966.69570736245,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"123",1,1232.12949579554,916.232443088689,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"127",0,0,1750.30430780831,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"141",1,653.859530618293,2464.67142185216,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"166",0,1133.03206998777,2027.75341199068,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"172",0,4731.34345250363,1385.40434443335,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"177",0,2766.06512967146,1415.52230146944,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"179",0,964.102518224917,1750.54846489204,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"183",0,4945.68372986468,1045.89511249339,3,126,120,123,125,"Growth,size=2,W=6mo,D=0.01"
"184",0,1253.91356533636,682.751793869887,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"205",2,3572.45669488714,1314.72415688882,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"214",0,1975.00585083673,1446.55374035426,2,6,4,6,6,"Growth,size=2,W=6mo,D=0.01"
"215",0,3916.6225438003,837.954354072236,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"217",0,6693.0384956349,2386.36844042692,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"223",0,3055.54394300013,1938.83205659884,2,11,10,12,11,"Growth,size=2,W=6mo,D=0.01"
"253",0,198.832557539727,629.008911121523,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"254",0,949.675612434294,2044.40336575147,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"256",1,2424.71152436374,1421.14020914392,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"261",0,851.530424170964,769.494501840406,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"268",0,0,2110.39430493849,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"284",0,1547.9493222221,2146.65579792589,2,48,46,48,48,"Growth,size=2,W=6mo,D=0.01"
"285",0,0,1422.79098988666,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"287",0,1857.6786670589,1430.82274984416,2,38,36,38,38,"Growth,size=2,W=6mo,D=0.01"
"291",0,2343.33763219812,2206.24726578032,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"297",0,3475.45572277018,1287.21587949495,2,45,43,45,45,"Growth,size=2,W=6mo,D=0.01"
"301",0,0,1814.36706188296,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"306",0,3002.88179075889,2799.38057995634,2,35,33,35,35,"Growth,size=2,W=6mo,D=0.01"
"322",0,944.242327745392,3700.34549537902,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"324",0,781.25988873579,4278.23435589137,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"341",0,4516.86046675085,3139.94748959492,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"343",0,1161.45782019677,2160.8623087209,2,34,32,34,34,"Growth,size=2,W=6mo,D=0.01"
"355",0,726.631559102136,1750.7950808025,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"361",0,1440.27753102098,1610.80386784136,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"364",0,0,1278.50446769853,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"377",0,559.324494019343,1672.77259753884,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"384",1,4450.04855384735,1161.01014207243,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"388",0,2243.36289449009,1955.17441730184,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"395",0,541.652270522188,985.336450282488,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"417",0,3365.12741603655,1979.06924243944,2,46,44,46,46,"Growth,size=2,W=6mo,D=0.01"
"424",0,650.240241412508,3595.69182540704,2,15,14,16,15,"Growth,size=2,W=6mo,D=0.01"
"437",0,2257.69182610813,851.250594130432,2,35,33,35,35,"Growth,size=2,W=6mo,D=0.01"
"448",0,4906.98903223988,2878.01054144793,2,39,37,39,39,"Growth,size=2,W=6mo,D=0.01"
"469",0,2073.8640577319,633.855528510172,2,29,27,29,29,"Growth,size=2,W=6mo,D=0.01"
"486",0,3346.72414294547,2314.74431256053,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"493",1,2459.598426122,1846.31235996063,2,36,34,36,36,"Growth,size=2,W=6mo,D=0.01"
"505",0,169.608565913729,2713.71203250069,2,7,5,7,7,"Growth,size=2,W=6mo,D=0.01"
"514",0,4196.823418552,760.842577661176,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"518",0,5175.11246240511,1177.24717510434,2,5,3,5,5,"Growth,size=2,W=6mo,D=0.01"
"521",0,216.726242975511,2060.4812821761,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"533",0,1057.55161796787,930.017288893495,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"537",0,3152.0776455868,2409.97500480862,2,44,42,44,44,"Growth,size=2,W=6mo,D=0.01"
"545",0,1522.89684353623,974.466197820629,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"558",0,400.784899314762,1231.58265113254,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"560",1,925.165732877497,3259.32237501615,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"583",0,3542.27306459183,1662.48463923068,2,50,48,50,50,"Growth,size=2,W=6mo,D=0.01"
"584",0,54.2923696532143,3443.26231168116,2,35,33,35,35,"Growth,size=2,W=6mo,D=0.01"
"591",0,2335.9802310533,4389.11518487868,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"605",0,391.590321270797,2680.23686037193,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"609",0,2957.98911927272,2484.82977332616,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"639",0,3316.87864642831,2347.01440635007,2,6,5,7,6,"Growth,size=2,W=6mo,D=0.01"
"641",0,3153.90952168433,2092.19006685101,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"654",0,0,2842.73360990572,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"662",0,4400.44683829941,707.045040463043,2,15,14,16,15,"Growth,size=2,W=6mo,D=0.01"
"664",0,363.016956722941,377.738106531518,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"673",0,2823.41782702423,1368.04814236255,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"687",0,1655.33512067588,1884.44627829335,2,30,28,30,30,"Growth,size=2,W=6mo,D=0.01"
"690",0,162.508099356123,3172.35775856541,2,39,37,39,39,"Growth,size=2,W=6mo,D=0.01"
"693",0,0,1565.18381092685,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"694",0,664.492184038742,912.482111159422,2,30,28,30,30,"Growth,size=2,W=6mo,D=0.01"
"706",0,2211.73310367104,3568.91149154462,2,31,29,31,31,"Growth,size=2,W=6mo,D=0.01"
"710",0,2009.39224366432,2501.10425456678,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"713",0,1053.92142226476,2297.40240311104,3,20,14,17,19,"Growth,size=2,W=6mo,D=0.01"
"717",0,337.289175463676,2904.33800083962,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"730",0,4249.94005705453,834.120637470401,2,70,68,70,70,"Growth,size=2,W=6mo,D=0.01"
"748",0,75.3854014251574,6152.4679826195,2,9,7,9,9,"Growth,size=2,W=6mo,D=0.01"
"769",0,5432.29863200426,2270.80920521937,2,9,7,9,9,"Growth,size=2,W=6mo,D=0.01"
"775",0,1861.89937116794,4031.11386958183,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"777",0,1020.12651828591,4255.90788415933,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"791",0,1131.27654663438,1055.52891456651,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"801",1,4545.96046903252,2709.28011653821,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"805",0,2706.81883650168,4308.9290383861,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"822",2,1641.23621142334,708.022536739975,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"846",0,2027.76172157321,2508.21284941577,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"855",0,2213.16701829529,2061.90066705316,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"858",0,0,2629.61082507041,2,63,61,63,63,"Growth,size=2,W=6mo,D=0.01"
"867",0,0,1900.77294468015,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"896",0,3412.02456069318,348.964164173282,3,40,34,37,39,"Growth,size=2,W=6mo,D=0.01"
"901",0,5254.3420083146,3992.68759848358,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"921",0,2058.67722650207,1213.19238908268,2,61,59,61,61,"Growth,size=2,W=6mo,D=0.01"
"929",0,2231.87154084157,3536.72591407664,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"931",0,1199.62814027808,2717.29306107198,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"936",0,2455.30051584404,1760.14339644524,3,58,52,55,57,"Growth,size=2,W=6mo,D=0.01"
"939",0,1951.98013933064,869.554936625047,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"944",0,761.079952713582,4318.52072565542,3,35,30,33,34,"Growth,size=2,W=6mo,D=0.01"
"946",1,1505.66051178757,1218.78086207989,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"956",1,1536.33667968437,774.093515815467,3,72,66,69,71,"Growth,size=2,W=6mo,D=0.01"
"971",1,1396.06898635467,469.117936814418,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"973",0,2729.35431629049,1112.10711955384,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"987",0,803.505067273199,2289.36481955469,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"993",0,553.365043895573,3029.46941007015,2,49,47,49,49,"Growth,size=2,W=6mo,D=0.01"
"1008",0,529.451132088416,3062.1561513183,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"1016",0,0,1988.36645360228,2,35,33,35,35,"Growth,size=2,W=6mo,D=0.01"
"1031",0,430.959046022926,1902.12490183527,2,40,38,40,40,"Growth,size=2,W=6mo,D=0.01"
"1049",0,1955.94046017813,3194.20464172203,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"1056",0,442.683617048952,2936.08972727758,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"1074",0,420.961075753497,1182.08483306677,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"1075",0,0,2477.83346220867,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"1086",0,4289.38006473195,2060.75925311207,2,45,43,45,45,"Growth,size=2,W=6mo,D=0.01"
"1088",0,4218.46942797228,952.642296768721,2,19,18,20,19,"Growth,size=2,W=6mo,D=0.01"
"1093",0,202.544793184159,2820.70197454629,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"1095",0,1694.61098643455,1047.21963146844,2,42,40,42,42,"Growth,size=2,W=6mo,D=0.01"
"1096",0,2963.98834524953,372.136589118084,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"1106",0,107.737723528639,3630.19499000672,2,84,82,84,84,"Growth,size=2,W=6mo,D=0.01"
"1108",0,0,731.264166515327,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"1113",0,1046.27024993058,2053.21844275328,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"1114",0,1843.09250317572,829.487049866805,2,51,49,51,51,"Growth,size=2,W=6mo,D=0.01"
"1116",1,680.338614267931,2258.03409145231,2,29,27,29,29,"Growth,size=2,W=6mo,D=0.01"
"1121",0,3194.38380748194,435.411286720643,2,29,27,29,29,"Growth,size=2,W=6mo,D=0.01"
"1145",1,3930.32601346194,4348.75817294017,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"1149",0,0,3475.00208027981,2,54,52,54,54,"Growth,size=2,W=6mo,D=0.01"
"1170",0,0,2422.27804697171,2,3,2,4,3,"Growth,size=2,W=6mo,D=0.01"
"1176",1,1501.26221964808,1542.18266620227,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"1183",0,95.5470844541687,1660.16710252033,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"1192",1,923.439981241135,1530.90816847274,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"1197",0,537.055243620855,993.327262879491,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"1205",0,1139.00947356968,5275.60844284204,2,3,2,4,3,"Growth,size=2,W=6mo,D=0.01"
"1206",0,914.723590753358,1459.0517939769,2,61,59,61,61,"Growth,size=2,W=6mo,D=0.01"
"1210",0,597.404394024377,1745.11507500724,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"1212",0,767.550769277183,1656.085740633,2,30,28,30,30,"Growth,size=2,W=6mo,D=0.01"
"1214",0,2889.02962452699,1498.38480097143,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"1220",0,4609.48404826349,1996.85802266597,2,31,29,31,31,"Growth,size=2,W=6mo,D=0.01"
"1221",0,0,2604.92708008017,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"1227",0,1043.50735504147,2540.05267143144,2,9,7,9,9,"Growth,size=2,W=6mo,D=0.01"
"1231",0,963.929425163916,2048.62484634176,2,31,29,31,31,"Growth,size=2,W=6mo,D=0.01"
"1235",0,1625.3341708372,1874.81724805411,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"1240",0,595.274349596251,5426.47932064135,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"1258",1,0,3291.26680032359,2,30,28,30,30,"Growth,size=2,W=6mo,D=0.01"
"1259",0,1372.43354485372,2569.43101339699,2,5,3,5,5,"Growth,size=2,W=6mo,D=0.01"
"1264",0,1169.03847713352,436.485205786612,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"1269",0,59.0065469798828,3665.29012193939,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"1281",1,3026.3009953357,2453.27534807163,3,33,27,30,32,"Growth,size=2,W=6mo,D=0.01"
"1284",2,0,3793.47295048479,2,33,31,33,33,"Growth,size=2,W=6mo,D=0.01"
"1290",0,0,1529.74439453224,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"1300",0,3698.45057477325,4540.62086902745,2,35,33,35,35,"Growth,size=2,W=6mo,D=0.01"
"1302",0,0,2618.59428190134,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
