"simid","pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"180",0,3305.41065745457,1923.11268367691,12,31.374114907005,0,12,21.374114907005,"Growth,size=5,W=6mo,D=0.01"
"462",0,2972.46792981456,3936.10484307786,16,34.3953758714107,0,16,20.3953758714107,"Growth,size=5,W=6mo,D=0.01"
"903",0,7047.13638616083,1384.18695734538,9,22.5127622588043,0,9,15.5127622588043,"Growth,size=5,W=6mo,D=0.01"
"1608",0,1863.45343281478,1633.25253087547,12,31.0684943811296,0,12,21.0684943811296,"Growth,size=5,W=6mo,D=0.01"
"1915",0,3560.89127490619,1770.05380511975,6,15.139720158391,0,6,11.139720158391,"Growth,size=5,W=6mo,D=0.01"
"2186",0,752.796060109988,2563.26960974762,10,25.3215846549122,0,10,17.3215846549122,"Growth,size=5,W=6mo,D=0.01"
"2495",0,3610.00108153986,3050.91144620846,15,36.3563420441907,0,15,23.3563420441907,"Growth,size=5,W=6mo,D=0.01"
"2578",1,3069.15184580769,3123.11142849854,12,37.4715910918661,0,12,27.4715910918661,"Growth,size=5,W=6mo,D=0.01"
"3771",1,6347.3111416687,1969.06440821296,9,21.5156621504742,0,9,14.5156621504742,"Growth,size=5,W=6mo,D=0.01"
"4773",0,979.383469015394,2200.28476831696,14,36.277955168527,0,14,24.277955168527,"Growth,size=5,W=6mo,D=0.01"
"4911",0,3386.81632206545,3278.75028933541,14,39.8066507688878,0,14,27.8066507688878,"Growth,size=5,W=6mo,D=0.01"
"5350",0,3730.23762381839,3485.27094741053,12,35.2096206554556,0,12,25.2096206554556,"Growth,size=5,W=6mo,D=0.01"
"5815",0,6757.67478308891,6107.00756888045,16,44.3566195767438,0,16,30.3566195767438,"Growth,size=5,W=6mo,D=0.01"
"6628",1,9904.33681112908,1587.5553523038,7,16.1991510100475,0,7,11.1991510100475,"Growth,size=5,W=6mo,D=0.01"
"7374",0,10725.5189788664,2806.50370568771,10,27.1974176159377,0,10,19.1974176159377,"Growth,size=5,W=6mo,D=0.01"
"7379",0,4702.60738642046,4200.81287821322,9,16.1440704788133,0,9,9.14407047881332,"Growth,size=5,W=6mo,D=0.01"
"9002",1,3800.4151275014,1092.30197779616,5,13.0588491591468,0.00715173709071149,5.00715173709071,10.0588491591468,"Growth,size=5,W=6mo,D=0.01"
"9077",1,3408.72209152071,3482.15467221284,14,33.2162287800648,0,14,21.2162287800648,"Growth,size=5,W=6mo,D=0.01"
"9357",0,4497.20345125266,3778.29639804765,25,69.5064922124612,0,25,46.5064922124612,"Growth,size=5,W=6mo,D=0.01"
"9953",0,6927.7566884216,2047.88397787246,10,23.6531772338683,0,10,15.6531772338683,"Growth,size=5,W=6mo,D=0.01"
