"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"1093",0,10496.9942136499,4325.96895088116,5,48,28,33,45,"Growth,size=5,W=6mo,D=0.01"
"1371",1,2603.38451807249,4338.22829580071,5,65,45,50,62,"Growth,size=5,W=6mo,D=0.01"
"1996",0,6661.34100021696,2810.70534269098,6,80,50,56,76,"Growth,size=5,W=6mo,D=0.01"
"2805",0,7126.36553828238,871.771817134517,6,42,17,23,38,"Growth,size=5,W=6mo,D=0.01"
"3247",0,6000.48937760879,4125.05101422869,5,67,47,52,64,"Growth,size=5,W=6mo,D=0.01"
"3972",2,1403.20335465027,2617.44035337194,5,72,52,57,69,"Growth,size=5,W=6mo,D=0.01"
"4803",0,5982.9249384269,2086.81009016474,5,74,54,59,71,"Growth,size=5,W=6mo,D=0.01"
"5835",0,1775.41709720751,3553.89686041754,5,43,26,31,40,"Growth,size=5,W=6mo,D=0.01"
"6243",0,4674.12463158416,1402.12673677043,5,51,31,36,48,"Growth,size=5,W=6mo,D=0.01"
"7397",0,4565.66002528389,2695.95343015861,5,59,39,44,56,"Growth,size=5,W=6mo,D=0.01"
"8314",1,2352.80408867024,2747.04577339136,5,88,68,73,85,"Growth,size=5,W=6mo,D=0.01"
"9028",1,4320.67320962142,4438.80800574263,5,30,14,19,27,"Growth,size=5,W=6mo,D=0.01"
"9509",0,3160.90667930533,1580.84694455726,5,39,23,28,36,"Growth,size=5,W=6mo,D=0.01"
"9655",0,1428.78911078913,4738.08005147262,7,104,63,70,99,"Growth,size=5,W=6mo,D=0.01"
