"pia","ida","contacts","simid","strategy"
0,0,14,1,"Network,partners>4"
0,3118.89570340807,8,1,"Network,partners>4"
0,121.547998122976,15,1,"Network,partners>4"
0,0,18,1,"Network,partners>4"
0,0,10,1,"Network,partners>4"
0,1161.36843720373,17,1,"Network,partners>4"
0,995.821446490245,10,1,"Network,partners>4"
0,0,11,3,"Network,partners>4"
0,0,8,4,"Network,partners>4"
0,0,17,6,"Network,partners>4"
0,0,9,11,"Network,partners>4"
0,570.442421623618,30,13,"Network,partners>4"
0,0,12,18,"Network,partners>4"
0,2549.63996454399,19,18,"Network,partners>4"
0,0,13,18,"Network,partners>4"
0,0,17,18,"Network,partners>4"
0,8.5846390603856,5,18,"Network,partners>4"
0,2704.24944094479,17,18,"Network,partners>4"
0,1087.25993535899,14,18,"Network,partners>4"
0,0,20,18,"Network,partners>4"
0,2235.93219450641,12,18,"Network,partners>4"
0,1567.16496784686,8,18,"Network,partners>4"
0,0,11,18,"Network,partners>4"
0,1867.04974905063,9,18,"Network,partners>4"
0,0,17,18,"Network,partners>4"
0,0,5,18,"Network,partners>4"
0,401.541035574147,32,18,"Network,partners>4"
0,0,27,18,"Network,partners>4"
0,1501.41730328542,12,18,"Network,partners>4"
0,219.138383297355,11,22,"Network,partners>4"
0,0,5,22,"Network,partners>4"
0,204.813432272549,5,22,"Network,partners>4"
0,3031.23212063484,12,23,"Network,partners>4"
0,1430.60080718409,48,23,"Network,partners>4"
0,2041.4800015862,11,23,"Network,partners>4"
0,0,20,23,"Network,partners>4"
0,27.8843463822302,17,23,"Network,partners>4"
0,0,20,23,"Network,partners>4"
0,2155.5822614293,10,23,"Network,partners>4"
0,160.278801381875,25,23,"Network,partners>4"
0,961.15044013631,13,23,"Network,partners>4"
0,228.930676128825,13,23,"Network,partners>4"
0,188.427459715514,35,23,"Network,partners>4"
0,0,11,23,"Network,partners>4"
0,18.3804673747127,11,24,"Network,partners>4"
0,4393.71418663145,7,24,"Network,partners>4"
0,1832.1001872412,16,24,"Network,partners>4"
0,0,9,24,"Network,partners>4"
0,1007.61920351325,5,24,"Network,partners>4"
0,275.699095061419,20,24,"Network,partners>4"
0,1438.63047206467,15,24,"Network,partners>4"
0,544.947880448988,16,24,"Network,partners>4"
0,761.958399242004,12,24,"Network,partners>4"
0,0,5,24,"Network,partners>4"
0,1283.17303414773,14,24,"Network,partners>4"
0,201.599749742233,7,25,"Network,partners>4"
0,2059.35520946673,6,27,"Network,partners>4"
0,1014.17692557259,11,27,"Network,partners>4"
0,880.409665491732,11,27,"Network,partners>4"
0,0,5,27,"Network,partners>4"
0,2404.53521659763,11,28,"Network,partners>4"
0,0,7,28,"Network,partners>4"
0,2083.68658114364,5,29,"Network,partners>4"
0,867.318114976476,17,29,"Network,partners>4"
0,1607.11991461056,22,29,"Network,partners>4"
0,1033.64935403529,7,29,"Network,partners>4"
0,446.412147396368,13,29,"Network,partners>4"
0,255.419139486693,10,29,"Network,partners>4"
0,0,23,29,"Network,partners>4"
0,957.461995782602,9,29,"Network,partners>4"
2,0,8,29,"Network,partners>4"
0,652.801215748195,11,29,"Network,partners>4"
1,0,5,29,"Network,partners>4"
0,0,9,29,"Network,partners>4"
0,140.425520471711,12,29,"Network,partners>4"
0,101.612816409465,17,29,"Network,partners>4"
0,3248.1041609933,6,29,"Network,partners>4"
0,0,9,29,"Network,partners>4"
0,1036.55345219112,16,29,"Network,partners>4"
0,234.02105821341,9,29,"Network,partners>4"
0,0,6,30,"Network,partners>4"
0,0,69,31,"Network,partners>4"
0,558.049470623588,24,32,"Network,partners>4"
0,197.070013400302,16,32,"Network,partners>4"
0,0,13,32,"Network,partners>4"
0,2177.49481994189,19,34,"Network,partners>4"
0,899.278144253308,18,34,"Network,partners>4"
0,0,12,34,"Network,partners>4"
0,349.2945976316,11,37,"Network,partners>4"
0,1235.95930739721,5,39,"Network,partners>4"
0,372.592459696046,13,39,"Network,partners>4"
0,0,9,39,"Network,partners>4"
0,364.407870369861,11,40,"Network,partners>4"
0,738.93568305773,12,40,"Network,partners>4"
0,270.893777914351,11,42,"Network,partners>4"
0,450.121928824009,8,46,"Network,partners>4"
0,485.283577140878,16,46,"Network,partners>4"
0,1026.17075450552,8,46,"Network,partners>4"
0,0,17,46,"Network,partners>4"
0,2464.08278134412,14,46,"Network,partners>4"
0,5.75850544340028,13,46,"Network,partners>4"
0,0,7,46,"Network,partners>4"
0,464.473790076675,27,56,"Network,partners>4"
0,1037.03659736035,8,56,"Network,partners>4"
1,463.828791503852,19,56,"Network,partners>4"
0,0,5,56,"Network,partners>4"
0,1481.26930859087,10,56,"Network,partners>4"
0,12.4467735016701,17,56,"Network,partners>4"
0,1060.79118021292,8,62,"Network,partners>4"
0,812.734351651382,23,62,"Network,partners>4"
0,0,6,62,"Network,partners>4"
0,24.3227540087082,11,62,"Network,partners>4"
0,1194.90768300257,16,64,"Network,partners>4"
0,1148.38246933945,9,64,"Network,partners>4"
0,0,27,64,"Network,partners>4"
0,947.052364403487,8,64,"Network,partners>4"
0,1035.74202788636,23,64,"Network,partners>4"
0,0,10,64,"Network,partners>4"
0,689.998279297458,10,64,"Network,partners>4"
0,609.802542338411,9,64,"Network,partners>4"
0,2035.65223252611,17,64,"Network,partners>4"
0,0,20,64,"Network,partners>4"
0,406.996203142096,20,64,"Network,partners>4"
0,2401.25264117235,21,65,"Network,partners>4"
0,937.55546221762,6,65,"Network,partners>4"
