"pia","ida","contacts","simid","strategy"
0,1227.46271161222,10,"14014","Random"
0,0,3,"13188","Random"
0,723.35851918246,2,"9984","Random"
0,4117.94853630446,33,"18926","Random"
0,404.06165853061,13,"42835","Random"
0,0,14,"39440","Random"
0,2068.0648028561,16,"17332","Random"
0,587.630944143005,7,"13391","Random"
0,932.145251454588,3,"29953","Random"
0,206.971549389817,12,"5865","Random"
0,0,12,"33924","Random"
0,4796.60384352984,4,"46482","Random"
0,0,3,"18067","Random"
0,0,12,"35058","Random"
0,0,15,"33842","Random"
0,2826.54712401472,10,"19326","Random"
0,130.512037418165,7,"28046","Random"
0,0,13,"20368","Random"
0,3418.84725119266,14,"25999","Random"
0,2600.27738649787,13,"25214","Random"
0,246.411018941867,13,"20750","Random"
0,0,38,"37740","Random"
0,1101.740250308,2,"39240","Random"
0,1061.577462144,7,"47237","Random"
0,0,1,"22503","Random"
0,2858.02095323551,10,"12757","Random"
0,2625.65410807894,10,"22949","Random"
0,0,1,"10242","Random"
0,294.455925541308,17,"43200","Random"
0,1066.67704072016,10,"14138","Random"
0,866.264406803741,3,"11009","Random"
0,588.919687315256,3,"6643","Random"
0,800.437692143655,8,"1762","Random"
0,976.157556399306,10,"43498","Random"
0,3103.48223261835,13,"27061","Random"
0,1515.65932903526,2,"23457","Random"
0,934.747902051825,10,"4324","Random"
0,1854.56965077399,18,"21475","Random"
0,1812.38043849921,10,"43786","Random"
0,3.32874850252347,4,"42474","Random"
0,0,1,"5649","Random"
0,1217.51996687356,33,"36408","Random"
0,709.604911449245,26,"31213","Random"
0,0,1,"48124","Random"
0,0,9,"49747","Random"
0,1628.56696185839,12,"2364","Random"
0,0,11,"39141","Random"
0,2074.23843796858,16,"16862","Random"
0,0,7,"18754","Random"
0,234.281088959583,3,"46207","Random"
0,0,13,"29072","Random"
0,1974.82850686631,14,"12405","Random"
0,141.769066408621,10,"46682","Random"
0,1351.33972712033,2,"35313","Random"
0,3510.78692614424,4,"28061","Random"
0,791.026514810978,12,"13415","Random"
0,59.4883640202033,40,"22738","Random"
0,4405.40342380428,13,"34865","Random"
0,2154.06059906328,20,"6817","Random"
