"pia","ida","contacts","simid","strategy"
0,0,11,"3","RITA"
0,336.671960338841,4,"6","RITA"
0,506.145431143995,4,"11","RITA"
0,1968.50588433213,2,"18","RITA"
0,698.532347534344,4,"18","RITA"
0,1430.60080718409,48,"23","RITA"
0,27.8843463822302,17,"23","RITA"
0,0,20,"23","RITA"
0,1007.61920351325,5,"24","RITA"
0,798.57974622288,4,"24","RITA"
0,544.947880448988,16,"24","RITA"
0,761.958399242004,12,"24","RITA"
0,388.974725291205,3,"24","RITA"
0,2059.35520946673,6,"27","RITA"
0,2404.53521659763,11,"28","RITA"
0,0,1,"28","RITA"
2,0,8,"29","RITA"
0,0,9,"29","RITA"
0,1743.82613683635,1,"29","RITA"
0,234.02105821341,9,"29","RITA"
0,1371.37760963489,2,"34","RITA"
0,1235.95930739721,5,"39","RITA"
0,738.93568305773,12,"40","RITA"
0,361.641877772157,3,"42","RITA"
0,0,3,"49","RITA"
0,1037.03659736035,8,"56","RITA"
1,463.828791503852,19,"56","RITA"
0,703.455460047878,1,"62","RITA"
0,21.5401762846368,3,"65","RITA"
0,1168.28729658742,1,"66","RITA"
0,0,2,"67","RITA"
0,1227.36374037053,5,"68","RITA"
0,319.164046468341,1,"72","RITA"
0,26.9140150849083,31,"73","RITA"
0,873.052428566821,5,"73","RITA"
0,2498.95095879973,21,"76","RITA"
0,0,3,"83","RITA"
0,888.681092075813,5,"84","RITA"
0,1116.39098150492,3,"84","RITA"
0,1112.44110172085,2,"84","RITA"
0,1736.89418771607,9,"84","RITA"
0,3451.99176278527,5,"84","RITA"
0,2014.58262201623,20,"87","RITA"
0,2329.22010599789,1,"100","RITA"
0,1138.91305878037,1,"100","RITA"
1,135.112945158322,1,"100","RITA"
0,0,22,"100","RITA"
0,1041.39992459531,5,"102","RITA"
0,1482.83554366571,1,"108","RITA"
0,712.005322074412,8,"127","RITA"
0,0,13,"135","RITA"
0,3261.93841014416,15,"138","RITA"
0,799.962313277211,8,"138","RITA"
0,2241.44561299132,7,"138","RITA"
0,646.529034743039,15,"144","RITA"
0,979.258448175882,27,"145","RITA"
0,703.958207412958,21,"148","RITA"
0,297.557477381046,3,"148","RITA"
0,180.904983957321,6,"160","RITA"
0,4059.04002432514,17,"168","RITA"
0,0,6,"172","RITA"
1,2198.41636882945,9,"172","RITA"
0,1529.47139989401,4,"175","RITA"
0,2468.5567373483,7,"177","RITA"
0,1257.67409777907,12,"177","RITA"
0,436.224887365247,6,"177","RITA"
0,4031.64496485683,15,"179","RITA"
0,1148.52151528761,12,"180","RITA"
0,688.278336797934,4,"182","RITA"
0,914.308035799273,3,"184","RITA"
0,1999.72006047068,11,"184","RITA"
0,753.309204956312,2,"191","RITA"
0,1184.11943409164,8,"194","RITA"
0,219.09881731991,2,"194","RITA"
0,583.050752157925,4,"195","RITA"
0,631.007527940273,1,"195","RITA"
0,1862.45889623772,2,"202","RITA"
0,1540.10415515413,10,"203","RITA"
0,0,4,"204","RITA"
0,0,3,"205","RITA"
0,389.95316886589,5,"205","RITA"
0,1460.86593492325,12,"214","RITA"
0,247.805240847789,3,"215","RITA"
0,2062.4590247832,4,"217","RITA"
1,1753.84134895367,11,"221","RITA"
0,985.318099635633,7,"223","RITA"
0,545.680050146067,1,"223","RITA"
0,1637.70304800299,10,"226","RITA"
1,2263.64101938191,2,"231","RITA"
0,1258.6247750927,4,"237","RITA"
1,1499.43003509646,14,"238","RITA"
0,1142.15603535634,17,"248","RITA"
0,1825.51316038945,4,"252","RITA"
0,0,33,"253","RITA"
0,0,16,"253","RITA"
0,2115.9438012937,2,"253","RITA"
0,1605.27941221018,8,"254","RITA"
0,2324.22342793308,6,"256","RITA"
0,0,8,"256","RITA"
0,4188.32863353214,17,"256","RITA"
0,1613.6580074203,9,"256","RITA"
0,911.137230649267,3,"261","RITA"
0,4375.83479074968,5,"265","RITA"
0,1.16737377437585,6,"269","RITA"
0,1616.62970495761,2,"269","RITA"
0,699.530811472051,4,"270","RITA"
0,3.82196347935201,13,"283","RITA"
0,0,1,"284","RITA"
0,123.036873418366,7,"289","RITA"
0,0,9,"297","RITA"
0,676.347515234407,17,"306","RITA"
0,446.537638617875,8,"310","RITA"
0,0,44,"310","RITA"
0,2620.26692111854,12,"311","RITA"
0,910.674137954806,6,"319","RITA"
0,964.022768555627,10,"322","RITA"
0,0,5,"322","RITA"
0,1424.03813620785,14,"324","RITA"
1,4137.19618681895,4,"324","RITA"
0,546.368655911209,10,"324","RITA"
0,969.808443771924,2,"327","RITA"
1,1904.69695927581,19,"336","RITA"
1,2082.05093517457,5,"336","RITA"
0,0,6,"336","RITA"
1,397.397067470325,2,"341","RITA"
0,385.799492967203,6,"342","RITA"
0,534.900922597323,7,"350","RITA"
0,2131.47436395144,2,"355","RITA"
0,707.506350255886,3,"355","RITA"
0,2826.81227519197,35,"360","RITA"
0,1643.09847299334,8,"361","RITA"
0,1462.83007079004,4,"369","RITA"
0,2161.28113664186,9,"377","RITA"
0,848.069783729723,15,"377","RITA"
0,814.151752320313,7,"377","RITA"
0,1565.999885894,14,"384","RITA"
0,842.692783585277,5,"384","RITA"
2,627.095421035843,10,"384","RITA"
0,606.489323459634,7,"384","RITA"
0,1991.99302420602,14,"385","RITA"
0,153.250420143135,9,"388","RITA"
0,2335.80916940424,11,"389","RITA"
3,165.294510892994,3,"389","RITA"
0,0,4,"389","RITA"
0,0,7,"392","RITA"
0,1401.94143480965,9,"392","RITA"
0,62.4001061930012,6,"392","RITA"
0,622.07505893893,8,"392","RITA"
0,1150.30761111838,2,"404","RITA"
0,1475.33253161117,6,"412","RITA"
0,1888.97413679662,2,"417","RITA"
0,1187.15591371248,21,"424","RITA"
0,3388.32098597708,19,"424","RITA"
0,0,11,"424","RITA"
0,439.8695539206,29,"424","RITA"
0,1390.41612801746,9,"424","RITA"
0,2406.85751998987,16,"424","RITA"
0,0,6,"428","RITA"
0,172.910972605015,1,"436","RITA"
0,161.209726559736,11,"437","RITA"
0,285.043798216102,8,"441","RITA"
1,0,5,"446","RITA"
0,292.394023435674,8,"450","RITA"
0,1567.68235530726,7,"451","RITA"
0,1131.99702569984,6,"452","RITA"
0,0,4,"466","RITA"
0,3497.35280313736,12,"469","RITA"
0,470.727961540434,16,"470","RITA"
0,0,10,"485","RITA"
0,0,11,"486","RITA"
0,931.113579279985,2,"486","RITA"
0,196.310330762323,5,"488","RITA"
0,226.93219906699,7,"493","RITA"
0,420.219715091678,6,"498","RITA"
0,879.205004618482,5,"498","RITA"
0,564.393137091203,4,"498","RITA"
0,1539.76019552735,2,"509","RITA"
0,0,6,"513","RITA"
0,2501.94412076767,4,"514","RITA"
0,1576.52322323834,8,"518","RITA"
0,203.020546707476,4,"520","RITA"
0,404.035455897184,1,"526","RITA"
0,0,7,"526","RITA"
0,1925.04282170413,5,"528","RITA"
0,832.701814556661,3,"529","RITA"
0,1570.63612589941,9,"534","RITA"
0,1670.49847168407,17,"535","RITA"
0,816.11660487105,39,"545","RITA"
0,567.221041296715,3,"545","RITA"
0,277.239150342673,2,"545","RITA"
0,2000.73684661392,16,"545","RITA"
0,914.782220698435,9,"546","RITA"
0,544.684942314183,3,"546","RITA"
0,1033.35720186027,6,"546","RITA"
0,358.564605073078,5,"550","RITA"
0,105.24576958905,2,"550","RITA"
0,1856.20724356373,3,"553","RITA"
0,0,4,"557","RITA"
0,91.9787665350123,3,"558","RITA"
0,2806.26685133717,5,"561","RITA"
0,1499.47278557233,20,"562","RITA"
0,2001.24239178477,5,"563","RITA"
0,831.264247550992,1,"571","RITA"
