"pia","puta","contacts_small","contacts_large","strategy"
0,1161.36843720373,16,16,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
0,336.671960338841,3,3,"RITA+Secondary,W=6mo"
0,0,16,16,"RITA+Secondary,W=6mo"
0,506.145431143995,11,8,"RITA+Secondary,W=6mo"
2,5280.4250236044,19,18,"RITA+Secondary,W=6mo"
0,213.976850486069,3,2,"RITA+Secondary,W=6mo"
2,3484.29748115231,22,11,"RITA+Secondary,W=6mo"
0,3370.16777769181,54,24,"RITA+Secondary,W=6mo"
0,1542.25384633078,82,47,"RITA+Secondary,W=6mo"
2,2047.61887440122,22,10,"RITA+Secondary,W=6mo"
0,1629.53995982047,13,10,"RITA+Secondary,W=6mo"
0,275.699095061419,19,19,"RITA+Secondary,W=6mo"
0,1491.5363311093,19,11,"RITA+Secondary,W=6mo"
1,5289.6255990053,27,19,"RITA+Secondary,W=6mo"
2,2571.99430003373,5,5,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,1607.11991461056,21,21,"RITA+Secondary,W=6mo"
2,0,7,7,"RITA+Secondary,W=6mo"
0,960.223002511143,11,9,"RITA+Secondary,W=6mo"
0,0,8,8,"RITA+Secondary,W=6mo"
3,2240.4467077825,24,11,"RITA+Secondary,W=6mo"
2,2683.49751515282,10,8,"RITA+Secondary,W=6mo"
0,622.467636898532,19,11,"RITA+Secondary,W=6mo"
0,558.049470623588,23,23,"RITA+Secondary,W=6mo"
0,1235.95930739721,4,4,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,2491.75313848202,2,2,"RITA+Secondary,W=6mo"
0,1037.03659736035,7,7,"RITA+Secondary,W=6mo"
1,1406.13137308438,44,26,"RITA+Secondary,W=6mo"
0,24.6679729542502,2,2,"RITA+Secondary,W=6mo"
0,703.455460047878,5,5,"RITA+Secondary,W=6mo"
0,609.802542338411,8,8,"RITA+Secondary,W=6mo"
0,2458.33299374163,22,20,"RITA+Secondary,W=6mo"
0,3597.3488568691,13,13,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
0,169.018454633091,83,83,"RITA+Secondary,W=6mo"
2,3188.07919941979,9,5,"RITA+Secondary,W=6mo"
0,319.164046468341,6,6,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,1256.27748984989,14,8,"RITA+Secondary,W=6mo"
0,888.681092075813,17,13,"RITA+Secondary,W=6mo"
5,3053.52256521732,0,0,"RITA+Secondary,W=6mo"
0,2014.58262201623,19,19,"RITA+Secondary,W=6mo"
1,1481.0765475881,19,17,"RITA+Secondary,W=6mo"
0,378.951856120888,12,12,"RITA+Secondary,W=6mo"
0,0,12,12,"RITA+Secondary,W=6mo"
0,275.53979546438,22,12,"RITA+Secondary,W=6mo"
0,1138.91305878037,0,0,"RITA+Secondary,W=6mo"
0,1041.39992459531,4,4,"RITA+Secondary,W=6mo"
1,654.856514725124,13,13,"RITA+Secondary,W=6mo"
0,1432.69630427703,11,9,"RITA+Secondary,W=6mo"
0,360.833974948675,3,3,"RITA+Secondary,W=6mo"
0,712.005322074412,18,11,"RITA+Secondary,W=6mo"
1,2672.2272724767,33,16,"RITA+Secondary,W=6mo"
0,3261.93841014416,14,14,"RITA+Secondary,W=6mo"
3,6575.93412951159,33,18,"RITA+Secondary,W=6mo"
0,778.693508365304,4,4,"RITA+Secondary,W=6mo"
0,1535.02865007515,8,8,"RITA+Secondary,W=6mo"
1,899.013447706311,26,20,"RITA+Secondary,W=6mo"
0,297.557477381046,8,6,"RITA+Secondary,W=6mo"
0,180.904983957321,5,5,"RITA+Secondary,W=6mo"
4,7200.36591143578,47,29,"RITA+Secondary,W=6mo"
2,4059.04002432514,45,29,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
0,1529.47139989401,7,4,"RITA+Secondary,W=6mo"
0,2654.83209337087,24,24,"RITA+Secondary,W=6mo"
1,1211.33023234728,34,22,"RITA+Secondary,W=6mo"
0,163.292766208666,10,10,"RITA+Secondary,W=6mo"
0,436.224887365247,14,9,"RITA+Secondary,W=6mo"
1,4066.89095533611,103,90,"RITA+Secondary,W=6mo"
0,914.308035799273,2,2,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
0,355.630296581676,8,8,"RITA+Secondary,W=6mo"
0,1206.47437456329,18,15,"RITA+Secondary,W=6mo"
0,970.108030441785,17,15,"RITA+Secondary,W=6mo"
0,1184.11943409164,7,7,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
0,420.33544849048,6,5,"RITA+Secondary,W=6mo"
0,1540.10415515413,9,9,"RITA+Secondary,W=6mo"
3,3713.73390196576,13,9,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,792.55504241499,16,16,"RITA+Secondary,W=6mo"
0,1460.86593492325,16,11,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
0,3980.85322691804,10,10,"RITA+Secondary,W=6mo"
0,247.805240847789,2,2,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
2,985.318099635633,17,11,"RITA+Secondary,W=6mo"
0,4758.73685942835,20,11,"RITA+Secondary,W=6mo"
2,729.922581470615,17,14,"RITA+Secondary,W=6mo"
2,2373.13543439417,29,12,"RITA+Secondary,W=6mo"
1,3405.81288684594,33,33,"RITA+Secondary,W=6mo"
1,2263.64101938191,1,1,"RITA+Secondary,W=6mo"
0,950.234746594136,4,4,"RITA+Secondary,W=6mo"
0,1502.42162360747,2,2,"RITA+Secondary,W=6mo"
0,2327.32212446025,19,16,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
0,0,11,11,"RITA+Secondary,W=6mo"
0,1142.15603535634,16,16,"RITA+Secondary,W=6mo"
1,1161.86506369511,27,16,"RITA+Secondary,W=6mo"
0,0,15,15,"RITA+Secondary,W=6mo"
0,4020.18861387639,31,30,"RITA+Secondary,W=6mo"
0,1328.3078753414,15,15,"RITA+Secondary,W=6mo"
1,911.137230649267,30,18,"RITA+Secondary,W=6mo"
0,114.532402770665,18,18,"RITA+Secondary,W=6mo"
1,4375.83479074968,14,10,"RITA+Secondary,W=6mo"
