"pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
0,995.821446490245,3923.40593255374,1,NA,NA,9,9,"RITA+Secondary,W=6mo"
0,0,546.659933148109,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
0,336.671960338841,60.0516969896273,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,0,210.628206353384,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
0,506.145431143995,1276.16906786104,2,NA,NA,11,8,"RITA+Secondary,W=6mo"
2,5280.4250236044,410.007329914599,3,NA,NA,19,18,"RITA+Secondary,W=6mo"
0,213.976850486069,2172.47653150814,2,NA,NA,3,2,"RITA+Secondary,W=6mo"
2,3484.29748115231,1069.56820413486,3,NA,NA,22,11,"RITA+Secondary,W=6mo"
0,3370.16777769181,533.59186929957,3,NA,NA,54,24,"RITA+Secondary,W=6mo"
0,1430.60080718409,553.83083846821,2,NA,NA,66,47,"RITA+Secondary,W=6mo"
2,2047.61887440122,920.190694042988,3,NA,NA,22,10,"RITA+Secondary,W=6mo"
0,1629.53995982047,1129.23015133336,2,NA,NA,13,10,"RITA+Secondary,W=6mo"
0,1491.5363311093,1198.23196568895,2,NA,NA,19,11,"RITA+Secondary,W=6mo"
1,5289.6255990053,287.848418693545,3,NA,NA,27,19,"RITA+Secondary,W=6mo"
0,1283.17303414773,2014.39063058572,2,NA,NA,17,13,"RITA+Secondary,W=6mo"
0,960.223002511143,1420.68325726374,2,NA,NA,11,9,"RITA+Secondary,W=6mo"
0,0,2348.48420033595,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
2,2683.49751515282,1792.84251216268,3,NA,NA,10,8,"RITA+Secondary,W=6mo"
1,4890.63189030334,1981.79896087428,4,NA,NA,10,5,"RITA+Secondary,W=6mo"
0,1829.47707501647,1696.36252106929,2,NA,NA,4,3,"RITA+Secondary,W=6mo"
0,1235.95930739721,878.247565701828,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,1856.27923648532,2523.76343122745,2,NA,NA,21,11,"RITA+Secondary,W=6mo"
0,1008.17753345867,418.310171827644,2,NA,NA,12,10,"RITA+Secondary,W=6mo"
0,0,1752.87101858632,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,1037.03659736035,211.051637471765,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
