"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"3",0,0,546.659933148109,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
"6",0,336.671960338841,60.0516969896273,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"6",0,0,210.628206353384,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
"11",0,506.145431143995,1276.16906786104,2,NA,NA,11,8,"RITA+Secondary,W=6mo"
"13",0,570.442421623618,1848.25473002178,1,NA,NA,29,29,"RITA+Secondary,W=6mo"
"18",2,5280.4250236044,410.007329914599,3,NA,NA,19,18,"RITA+Secondary,W=6mo"
"18",2,3484.29748115231,1069.56820413486,3,NA,NA,22,11,"RITA+Secondary,W=6mo"
"24",2,2047.61887440122,920.190694042988,3,NA,NA,22,10,"RITA+Secondary,W=6mo"
"24",0,1629.53995982047,1129.23015133336,2,NA,NA,13,10,"RITA+Secondary,W=6mo"
"24",0,544.947880448988,2118.77740436483,1,NA,NA,15,15,"RITA+Secondary,W=6mo"
"24",0,1283.17303414773,2014.39063058572,2,NA,NA,17,13,"RITA+Secondary,W=6mo"
"27",2,2571.99430003373,832.175532988644,2,NA,NA,5,5,"RITA+Secondary,W=6mo"
"28",0,0,3529.38262652247,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
"29",0,1607.11991461056,428.384413652093,1,NA,NA,21,21,"RITA+Secondary,W=6mo"
"29",2,0,2130.90823166685,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
"29",0,960.223002511143,1420.68325726374,2,NA,NA,11,9,"RITA+Secondary,W=6mo"
"29",0,0,2348.48420033595,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
"29",3,2240.4467077825,803.473012948658,3,NA,NA,24,11,"RITA+Secondary,W=6mo"
"29",2,2683.49751515282,1792.84251216268,3,NA,NA,10,8,"RITA+Secondary,W=6mo"
"29",0,622.467636898532,991.050105098874,2,NA,NA,19,11,"RITA+Secondary,W=6mo"
"34",0,1829.47707501647,1696.36252106929,2,NA,NA,4,3,"RITA+Secondary,W=6mo"
"39",0,1235.95930739721,878.247565701828,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"42",0,270.893777914351,793.952049599801,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
"46",0,3903.45139147825,1986.56152592463,3,NA,NA,20,13,"RITA+Secondary,W=6mo"
"49",0,0,1752.87101858632,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"52",0,2491.75313848202,541.606605046918,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"62",0,875.379859668798,3418.3956393035,2,NA,NA,32,22,"RITA+Secondary,W=6mo"
"62",0,703.455460047878,5149.08292553184,2,NA,NA,5,5,"RITA+Secondary,W=6mo"
"65",0,937.55546221762,1266.15675233394,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
"65",0,2458.33299374163,2182.17203826692,2,NA,NA,22,20,"RITA+Secondary,W=6mo"
"66",0,3597.3488568691,2241.50176219685,2,NA,NA,13,13,"RITA+Secondary,W=6mo"
"67",0,0,1351.30589609127,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
"68",2,3188.07919941979,1226.44516880989,2,NA,NA,9,5,"RITA+Secondary,W=6mo"
"72",0,319.164046468341,3428.19257299899,2,NA,NA,6,6,"RITA+Secondary,W=6mo"
"73",0,26.9140150849083,440.567447577868,1,NA,NA,30,30,"RITA+Secondary,W=6mo"
"73",0,1256.27748984989,5571.70178797945,3,NA,NA,14,8,"RITA+Secondary,W=6mo"
"76",0,2357.35993965793,1012.3505215542,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
"76",0,2498.95095879973,2895.6872112765,1,NA,NA,20,20,"RITA+Secondary,W=6mo"
"78",0,0,935.439016939375,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
"83",0,0,3499.29592890348,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"84",5,3053.52256521732,2621.04914901587,2,NA,NA,0,0,"RITA+Secondary,W=6mo"
"84",0,1736.89418771607,6208.19549390197,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
"87",0,2014.58262201623,329.765463377487,1,NA,NA,19,19,"RITA+Secondary,W=6mo"
"91",0,191.742467343,1170.63422943062,1,NA,NA,14,14,"RITA+Secondary,W=6mo"
"94",1,1481.0765475881,801.483516830232,2,NA,NA,19,17,"RITA+Secondary,W=6mo"
"100",0,1138.91305878037,2543.42424492553,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
"100",1,2618.07924062733,1488.55855681427,2,NA,NA,10,10,"RITA+Secondary,W=6mo"
"102",0,1041.39992459531,100.793153145402,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"107",1,654.856514725124,289.873699695701,1,NA,NA,13,13,"RITA+Secondary,W=6mo"
"108",0,1482.83554366571,412.705783452678,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
"116",0,360.833974948675,85.1191246041225,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"123",2,3073.14042191071,309.251936968314,2,NA,NA,17,17,"RITA+Secondary,W=6mo"
"123",0,482.186739039939,2557.39469447984,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"123",0,1894.05764728124,1614.97720422829,2,NA,NA,31,24,"RITA+Secondary,W=6mo"
"123",0,0,1175.210256532,1,NA,NA,37,37,"RITA+Secondary,W=6mo"
