"simid","cluster_idx","nc","n_rita_positive","has_rita","prop_rita"
1093,1,12,4,TRUE,0.333333333333333
1371,2,16,4,TRUE,0.25
1996,3,14,3,TRUE,0.214285714285714
2805,4,7,5,TRUE,0.714285714285714
3247,5,12,1,TRUE,0.0833333333333333
3972,6,13,3,TRUE,0.230769230769231
4803,7,9,2,TRUE,0.222222222222222
5835,8,23,3,TRUE,0.130434782608696
6243,9,10,2,TRUE,0.2
7397,10,17,2,TRUE,0.117647058823529
8314,11,13,3,TRUE,0.230769230769231
9028,12,16,4,TRUE,0.25
9509,13,5,1,TRUE,0.2
9655,14,29,3,TRUE,0.103448275862069
