"simid","IT","t_detect","t_trigger","nc_known","nc_full","ida","pia","ida_per_contact_small","ida_per_contact_large","contacts_small","contacts_large","n_rita_known","prop_rita_known","n_rita_full","prop_rita_full","first_rita_time","first_rita_detection","time_to_growth_trigger","earliest_rita_known_at_IT","time_advantage_at_IT"
"1093",4325.96895088116,4297.96895088116,4311.96895088116,12,25,10496.9942136499,0,318.090733746967,233.266538081109,33,45,3,0.25,5,0.2,2471.82137445557,2457.82137445557,1840.14757642559,2471.82137445557,1854.14757642559
"1371",4338.22829580071,4310.22829580071,4324.22829580071,16,19,2603.38451807249,1,52.0676903614498,41.9900728721369,50,62,3,0.1875,3,0.157894736842105,2974.8916942379,2960.8916942379,1349.3366015628,2974.8916942379,1363.3366015628
"1996",2810.70534269098,2782.70534269098,2796.70534269098,14,21,6661.34100021696,0,118.952517861017,87.6492236870653,56,76,2,0.142857142857143,3,0.142857142857143,1063.58173945706,1049.58173945706,1733.12360323392,1063.58173945706,1747.12360323392
"2805",871.771817134517,843.771817134517,857.771817134517,7,32,7126.36553828238,0,309.841979925321,187.535935217957,23,38,3,0.428571428571429,7,0.21875,706.828385009585,692.828385009585,150.943432124932,706.828385009585,164.943432124932
"3247",4125.05101422869,4097.05101422869,4111.05101422869,12,18,6000.48937760879,0,115.394026492477,93.7576465251373,52,64,1,0.0833333333333333,1,0.0555555555555556,3897.8134479852,3883.8134479852,213.237566243494,3897.8134479852,227.237566243494
"3972",2617.44035337194,2589.44035337194,2603.44035337194,13,21,1403.20335465027,2,24.6176027131626,20.3362805021778,57,69,6,0.461538461538462,7,0.333333333333333,1065.24951994928,1051.24951994928,1538.19083342266,1065.24951994928,1552.19083342266
"4803",2086.81009016474,2058.81009016474,2072.81009016474,9,20,5982.9249384269,0,101.405507430964,84.2665484285479,59,71,2,0.222222222222222,3,0.15,1878.32298256793,1864.32298256793,194.487107596816,1878.32298256793,208.487107596816
"5835",3553.89686041754,3525.89686041754,3539.89686041754,23,36,1775.41709720751,0,57.2715192647584,44.3854274301878,31,40,1,0.0434782608695652,2,0.0555555555555556,3445.00609812471,3431.00609812471,94.8907622928323,3445.00609812471,108.890762292832
"6243",1402.12673677043,1374.12673677043,1388.12673677043,10,32,4674.12463158416,0,129.836795321782,97.3775964913367,36,48,1,0.1,1,0.03125,1083.99791286629,1069.99791286629,304.128823904144,1083.99791286629,318.128823904144
"7397",2695.95343015861,2667.95343015861,2681.95343015861,17,29,4565.66002528389,0,103.765000574634,81.5296433086409,44,56,4,0.235294117647059,5,0.172413793103448,1119.10044414236,1105.10044414236,1562.85298601625,1119.10044414236,1576.85298601625
"8314",2747.04577339136,2719.04577339136,2733.04577339136,13,16,2352.80408867024,1,32.2301929954827,27.6800481020028,73,85,3,0.230769230769231,3,0.1875,1146.78550421585,1132.78550421585,1586.26026917551,1146.78550421585,1600.26026917551
"9028",4438.80800574263,4410.80800574263,4424.80800574263,16,29,4320.67320962142,1,227.403853137969,160.024933689682,19,27,5,0.3125,5,0.172413793103448,1463.01609852236,1449.01609852236,2961.79190722027,1463.01609852236,2975.79190722027
"9509",1580.84694455726,1552.84694455726,1566.84694455726,6,15,3160.90667930533,0,112.889524260905,87.8029633140369,28,36,1,0.166666666666667,4,0.266666666666667,1513.52000238492,1499.52000238492,53.3269421723423,1513.52000238492,67.3269421723423
"9655",4738.08005147262,4710.08005147262,4724.08005147262,29,45,1428.78911078913,0,20.4112730112733,14.4322132402942,70,99,4,0.137931034482759,5,0.111111111111111,2919.59343561131,2905.59343561131,1804.4866158613,2919.59343561131,1818.4866158613
