"simid","IT","ida","pia","ida_per_contact_small","ida_per_contact_large","contacts_small","contacts_large","n_rita_total","n_rita_pos_1to2","n_rita_pos_3to5","rita_pos1","rita_pos2","rita_pos3","rita_pos4","rita_pos5","rita_positions_list","earliest_rita_position","earliest_rita_time"
"1093",4325.96895088116,10496.9942136499,0,318.090733746967,233.266538081109,33,45,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,"3",3,4266.87611035586
"1371",4338.22829580071,2603.38451807249,1,52.0676903614498,41.9900728721369,50,62,1,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,"5",5,4309.90382203206
"1996",2810.70534269098,6661.34100021696,0,118.952517861017,87.6492236870653,56,76,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA
"2805",871.771817134517,7126.36553828238,0,309.841979925321,187.535935217957,23,38,3,1,2,FALSE,TRUE,FALSE,TRUE,TRUE,"2,4,5",2,706.828385009585
"3247",4125.05101422869,6000.48937760879,0,115.394026492477,93.7576465251373,52,64,1,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,"1",1,3897.8134479852
"3972",2617.44035337194,1403.20335465027,2,24.6176027131626,20.3362805021778,57,69,2,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,"1,4",1,2408.65881666821
"4803",2086.81009016474,5982.9249384269,0,101.405507430964,84.2665484285479,59,71,2,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,"1,4",1,1878.32298256793
"5835",3553.89686041754,1775.41709720751,0,57.2715192647584,44.3854274301878,31,40,1,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,"5",5,3445.00609812471
"6243",1402.12673677043,4674.12463158416,0,129.836795321782,97.3775964913367,36,48,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA
"7397",2695.95343015861,4565.66002528389,0,103.765000574634,81.5296433086409,44,56,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA
"8314",2747.04577339136,2352.80408867024,1,32.2301929954827,27.6800481020028,73,85,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,"3",3,2640.30252616289
"9028",4438.80800574263,4320.67320962142,1,227.403853137969,160.024933689682,19,27,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA
"9509",1580.84694455726,3160.90667930533,0,112.889524260905,87.8029633140369,28,36,1,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,"4",4,1513.52000238492
"9655",4738.08005147262,1428.78911078913,0,20.4112730112733,14.4322132402942,70,99,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA
