"Strategy","Subnetwork","Contacts","Total_PUTA","IDA/contact","Median_PUTA","Low_PUTA","High_PUTA","Total_PIA","PIA/contact","Median_PIA","Low_PIA","High_PIA"
"Size=5,D=0.005","small",92596,3807667,41,35,0,113,137,0,0,0,0
"Size=5,D=0.005","large",113061,3807667,34,28,0,85,137,0,0,0,0
"Size=2,D=0.005","small",249510,14407451,58,46,0,177,844,0,0,0,0
"Size=2,D=0.005","large",249422,14407451,58,46,0,178,844,0,0,0,0
"Growth,size=5,W=6mo,D=0.01","small",4606,328726,71,65,12,185,14,0,0,0,0.01
"Growth,size=5,W=6mo,D=0.01","large",5650,328726,58,53,10,144,14,0,0,0,0.01
"Growth,size=2,W=6mo,D=0.01","small",131029,9487071,72,62,0,235,538,0,0,0,0
"Growth,size=2,W=6mo,D=0.01","large",131361,9487071,72,62,0,237,538,0,0,0,0
"Random,30%","-",597772,48283685,81,39,0,417,2491,0,0,0,0
"RITA","-",164602,20701523,126,114,0,633,1608,0.01,0,0,0
"Network,partners>4","-",1894120,127399594,67,35,0,239,6903,0,0,0,0
"RITA+Secondary,W=6mo","small",289179,30636213,106,89,0,439,10345,0.04,0,0,0.12
"RITA+Secondary,W=6mo","large",224999,30636213,136,116,0,517,10345,0.05,0,0,0.17
