donor,recipient,distance,timetransmission,contacttype,simid
0,0.1,Inf,42.95064379626068,F,1
,,,,,2
,,,,,3
0,0.1,0.008,1122.0980655847013,G,4
0,0.1,0.001,1012.8429017903935,G,5
,,,,,6
0,0.1,0.01,929.1473537917742,F,7
0,0.2,0.02,1051.3080522187815,G,7
0.1,0.1.1,0.007,1277.2359844259358,F,7
0.1,0.1.2,0.004,1586.9362911004362,G,7
0.2,0.2.1,0.003,1873.027072984247,G,7
0.1.1,0.1.1.1,0.012,1698.6547685349858,F,7
0.1.1,0.1.1.2,0.009,2728.176673160857,F,7
0.2.1,0.2.1.1,0.002,2062.2813433068445,G,7
0.2.1.1,0.2.1.1.1,0.004,2667.3469704090035,G,7
0.2.1.1,0.2.1.1.2,0.004,3019.3648676037437,G,7
0,0.1,0.003,164.27611100848674,G,8
0,0.2,0.004,1887.2859321596482,G,8
,,,,,9
,,,,,10
,,,,,11
0,0.1,0.007,225.17647238043276,G,12
,,,,,13
,,,,,14
0,0.1,0.003,102.9557666895445,G,15
0,0.2,0.011,368.0682853510989,G,15
0.1,0.1.1,0.008,792.9762639647339,G,15
0.2,0.2.1,0.004,1675.9460815829823,G,15
0.1.1,0.1.1.1,0.008,1102.7316303587756,G,15
0.1.1,0.1.1.2,0.015,1544.7095939296669,G,15
0.1.1,0.1.1.3,0.002,3133.1985632860146,G,15
0.2.1,0.2.1.1,0.0,3672.799147919658,H,15
0.2.1,0.2.1.2,0.0,3705.8356658063726,G,15
0.1.1.1,0.1.1.1.1,0.004,1496.976104047885,G,15
0.1.1.3,0.1.1.3.1,0.003,3240.8195235132343,G,15
0.1.1.3,0.1.1.3.2,0.002,3326.179597167222,G,15
0.1.1.3,0.1.1.3.3,0.002,3809.0640989463313,G,15
0.2.1.2,0.2.1.2.1,0.0,3814.824880641568,G,15
0.2.1.2,0.2.1.2.2,0.011,4095.178273833826,G,15
0.2.1.2,0.2.1.2.3,0.0,4122.511739399505,G,15
0,0.1,0.003,1247.1190030644498,G,16
,,,,,17
0,0.1,0.003,337.46093237576224,G,18
