pid,timesequenced,timediagnosed,timeinfected,generation,Fdegree,Gdegree,Hdegree,simid
0,Inf,774.898762149634,0.0,0,2,1,5.479744453596598e-5,1
0.1,Inf,1440.4242860432842,42.95064379626068,1,1,3,0.0001303748523571201,1
0,839.6548174926239,835.985718537688,0.0,0,1,1,0.007043024761644499,2
0,807.1052623508956,787.959747715076,0.0,0,0,2,0.00019252196308836475,3
0,1784.5434615083327,1750.1117663546815,0.0,0,0,3,0.00685894349039673,4
0.1,2614.3001197992207,2602.5035003724597,1122.0980655847013,1,0,1,0.0007903308917388725,4
0,1362.775472661391,1329.6627781216744,0.0,0,0,3,2.1760395324211448e-5,5
0.1,1074.4999642153296,1021.9865201321606,1012.8429017903935,1,1,3,0.0005924078252348601,5
0,1216.3623920360226,1215.3452517081219,0.0,0,0,3,0.006276750105485976,6
0,2207.421946395845,2204.4005593763072,0.0,0,1,2,6.60519480025736e-5,7
0.1,3452.4136581463213,3444.38331440667,929.1473537917742,1,1,1,2.6116650005536153e-5,7
0.2,5247.867509410257,5225.840343705329,1051.3080522187815,1,1,2,0.007295047568385775,7
0.1.1,4454.259331252228,4427.220994520202,1277.2359844259358,2,1,0,0.008058298145007503,7
0.1.2,2183.0416617261635,2097.6245036510854,1586.9362911004362,2,0,1,0.004869354212467649,7
0.2.1,2060.5386892945794,2008.0395260179287,1873.027072984247,2,0,3,0.026475130158133246,7
0.1.1.1,2442.59777111422,2438.698108715971,1698.6547685349858,3,1,0,3.3757953990111316e-5,7
0.1.1.2,3847.852589584451,3835.611815090798,2728.176673160857,3,1,1,0.0026030231252807006,7
0.2.1.1,3250.827961711498,3247.060840541495,2062.2813433068445,3,0,3,1.3560786077074139e-5,7
0.2.1.1.1,5592.178475478119,5579.9856013988265,2667.3469704090035,4,1,3,0.00613420492632257,7
0.2.1.1.2,3560.7163467540236,3546.8458138718615,3019.3648676037437,4,0,3,0.024907346874164807,7
0,1845.98548370967,1842.501910714594,0.0,0,0,2,0.0018457276113907626,8
0.1,1196.737954535584,1126.7199163277683,164.27611100848674,1,0,1,7.29619438916545e-5,8
0.2,3002.5751161238936,2969.5603399428937,1887.2859321596482,1,0,1,0.007365665128290969,8
0,1893.6982736580333,1857.5444435504164,0.0,0,0,3,0.0007137012683946577,9
0,1835.6463628380868,1819.1359199367398,0.0,0,0,3,0.021173898975381737,10
0,921.8728929959854,903.0842782014684,0.0,0,1,1,0.008980761631622178,11
0,1260.0345532954727,1239.2558540842251,0.0,0,0,2,0.013930888527456593,12
0.1,2940.6449153471476,2931.2779935021435,225.17647238043276,1,0,3,0.00040208885263832034,12
0,1689.1017595768503,1685.0437062391522,0.0,0,0,2,0.006001787842565124,13
0,2659.8559952071664,2615.735449662512,0.0,0,0,2,7.036332087916441e-7,14
0,1027.948949775534,1001.5359010342563,0.0,0,0,3,0.0007919591179672193,15
0.1,2047.755826466084,2017.1349001693407,102.9557666895445,1,1,3,0.12785726978627102,15
0.2,1974.7085628499026,1971.6305039204767,368.0682853510989,1,0,1,0.006062403657939569,15
0.1.1,4284.229491223195,4270.223127061952,792.9762639647339,2,0,3,0.00017696005147966335,15
0.2.1,3432.620495791387,3384.6313922588843,1675.9460815829823,2,0,2,0.06057212411856853,15
0.1.1.1,1613.8592259547493,1543.6659875099945,1102.7316303587756,3,1,3,0.005534286319708787,15
0.1.1.2,4116.506450136211,4095.597407999466,1544.7095939296669,3,0,1,0.00163579121331851,15
0.1.1.3,3838.4087368824166,3832.717846856772,3133.1985632860146,3,1,3,4.2069763901823043e-5,15
0.2.1.1,4312.3003504492535,4241.421354078338,3672.799147919658,3,1,1,0.044237392884982366,15
0.2.1.2,4181.690149700679,4175.850854998008,3705.8356658063726,3,0,3,0.0006008271185942073,15
0.1.1.1.1,3185.0287910330967,3178.1142264070822,1496.976104047885,4,1,2,0.014282579942329924,15
