pid,timesequenced,timediagnosed,timeinfected,generation,Fdegree,Gdegree,Hdegree,simid
0,906.7548919381449,902.4508649203706,0.0,0,0,3,0.02885035209752659,1
0,1738.2136129932373,1680.696009512293,0.0,0,1,3,0.0035615747375110007,2
0.1,2512.5414961062665,2484.219464941527,313.0161612217919,1,1,3,5.7761037147509655e-5,2
0.2,922.0282890864077,903.1492096826115,673.7658440959483,1,0,2,0.05227687883572685,2
0.3,3918.6059762931286,3867.579449150427,1486.1686041910402,1,1,0,0.035135544596664625,2
0.4,3314.8158948862692,3293.946537910495,1613.8060024851295,1,1,3,7.951106274792718e-6,2
0.1.1,2967.658198675456,2947.9846702688005,1142.0885931031542,2,1,1,8.242201699403975e-5,2
0.2.1,2072.6889632424427,2067.315937311935,966.6710911090669,2,1,1,1.2532271859436541e-5,2
0.3.1,4260.416361052965,4209.057131158648,2520.734653084646,2,1,1,0.0006739354603822459,2
0.4.1,4257.865733819843,4253.756128170825,1626.0122190052036,2,1,0,0.001741219468706538,2
0.4.2,2910.671251182981,2860.7747755407313,1627.415946547792,2,1,1,0.00041577113129807484,2
0.4.3,2947.97929193432,2926.886443748813,2120.165768380843,2,0,3,0.01713610581375162,2
0.2.1.1,3020.637953998167,3000.2241575991334,1273.3914295145132,3,1,1,0.03448623301471819,2
0.2.1.2,1638.0168586757577,1629.6562208049688,1347.677878842199,3,1,0,0.013695496584519858,2
0.3.1.1,5633.991297566067,5626.027235745832,2820.033992201241,3,1,2,0.02166480776934136,2
0.4.1.1,4464.988513598348,4422.689570733965,3559.6747952425494,3,1,0,0.008537277589422796,2
0.4.3.1,4441.262526878924,4435.046228299413,2436.5177251180876,3,0,1,0.23501194915693696,2
0.4.3.2,3819.431928034564,3815.2918249555187,2730.2643575314887,3,0,1,0.02498645394734293,2
0.3.1.1.1,3445.760647745948,3422.1323637995233,2847.868696159344,4,1,1,0.028426180734682203,2
0.3.1.1.2,5610.027333361857,5598.566269506757,2978.4361922849357,4,1,0,0.07195770212940103,2
0.3.1.1.3,4475.277674067448,4468.15855840177,3938.8433903564237,4,1,2,0.0020815312714973742,2
0.3.1.1.4,8229.577098209858,8198.658882638487,5630.897232264556,4,1,0,0.041624385455302906,2
0.4.3.1.1,5259.7663663764515,5257.331690728784,2879.1584204212318,4,0,1,0.13832366991114575,2
0.4.3.1.2,3567.704888491797,3532.085402516304,3234.0340326190103,4,0,3,0.00507191394276672,2
0.4.3.2.1,4576.244747793138,4557.102865502524,3813.037967475407,4,1,3,0.10507622188912684,2
0,770.1076629113797,768.7502486993963,0.0,0,0,2,0.0020595463750185464,3
0,1884.768019089166,1849.222740859213,0.0,0,1,2,0.0005691804549262931,4
0.1,1220.6424822444185,1213.993310080828,353.6518067149163,1,1,1,9.391523690053138e-7,4
0,2658.3368432416833,2607.284469020229,0.0,0,0,1,0.006370797383936059,5
0.1,Inf,3347.2992188511466,152.82042272566125,1,0,1,0.017547195960139074,5
0.2,8238.917719860487,8217.104018868962,2281.477648352095,1,1,3,2.0566787510477733e-5,5
0.1.1,695.501991152837,683.1967741091631,508.8200534185261,2,0,1,0.03635151104149674,5
0.1.2,2831.866545227097,2822.376899276878,528.451282370156,2,1,2,0.03273245019853748,5
0.1.3,2785.31846090778,2763.313015105126,2082.0400231267995,2,0,3,0.049901685207598835,5
0.2.1,5975.212608811405,5970.515680350516,2318.7564915859634,2,1,3,0.03715740317433983,5
0.2.2,6066.338712536212,6061.85923941279,2532.609163253741,2,0,2,0.005742132576525514,5
0.2.3,6191.464976921444,6107.845830856029,4347.746125123563,2,1,1,9.940811730413992e-5,5
0.2.4,5614.629729195567,5608.297596357188,5084.06189497709,2,1,1,0.06497484494135788,5
0.2.5,6572.00213504018,6480.832433776141,5207.002231125483,2,1,1,0.017401505749307152,5
0.2.6,7735.993616060204,7703.018395479631,5720.218560608635,2,0,2,0.0006200345151987317,5
0.1.2.1,2271.355136074286,2254.5549056156738,577.5831445494579,3,0,1,0.00762559298153305,5
0.1.3.1,2915.718673951751,2905.073766015198,2166.755335909521,3,0,1,0.09320901438611588,5
0.1.3.2,2942.7442867720606,2921.2484650017414,2726.705946506636,3,0,3,0.020609932845103665,5
0.2.4.1,5772.567569332116,5767.589094075456,5593.722013642312,3,1,2,0.04469085425438258,5
0.2.6.1,6731.187393120302,6728.808578418417,6640.770825072193,3,0,2,0.003028236331266026,5
0.1.3.1.1,2807.2231844234784,2805.639445999123,2255.9292577682586,4,0,0,0.2600251702456839,5
0,2724.9668888096708,2670.6421301115697,0.0,0,0,1,0.05405666128672498,6
0,782.7136440997632,760.7889431709671,0.0,0,1,2,0.0023176465363239714,7
0,3216.016132827636,3215.7889860864025,0.0,0,1,2,0.021584377610546292,8
0.1,3052.9913596159245,3037.219700443239,68.60567898697511,1,1,1,0.018625579642100456,8
0.2,2881.804423037312,2828.017255308634,1257.6524397218386,1,0,2,0.0002126459311413123,8
0.3,4838.066163198035,4825.152028235311,3160.5426910401607,1,0,2,0.008880002910459352,8
0.3.1,6260.670571678953,6213.644203248055,3835.030818314457,2,0,1,0.018736494777166227,8
0,688.5553088659569,629.5304942974844,0.0,0,0,3,0.025055694117690545,9
0.1,Inf,2369.2369234311573,171.9226283911058,1,0,3,0.0025642629212145568,9
0.2,2181.250998047222,2147.667776841179,229.76463674621763,1,0,2,0.08945262397042412,9
