donor,recipient,distance,timetransmission,contacttype,simid
0,0.1,Inf,595.793335265894,G,1
0,0.2,Inf,1422.756604851209,F,1
0.1,0.1.1,0.007,2642.879023905507,G,1
0.1.1,0.1.1.1,0.003,3046.738709132146,G,1
0.1.1,0.1.1.2,0.004,3181.055240589067,G,1
0.1.1.1,0.1.1.1.1,0.003,3441.0636724758215,F,1
0.1.1.1.1,0.1.1.1.1.1,0.002,3457.5476136704565,G,1
0.1.1.1.1,0.1.1.1.1.2,0.001,3603.825620630225,G,1
0,0.1,0.001,525.6517243674613,G,3
0,0.1,0.002,70.90255309824121,G,4
0,0.1,0.002,37.86378625021085,F,6
0.1,0.1.1,0.0,58.96661680215587,G,6
0,0.1,0.007,156.21455192763747,F,8
0,0.1,0.004,192.5445902546733,G,11
0.1,0.1.1,0.003,1239.0135187734406,G,11
0,0.1,0.003,1572.0327559028988,G,13
0,0.1,0.005,10.074706395107931,G,18
0,0.2,0.006,112.19915646327848,G,18
0,0.3,0.011,224.24258418890452,G,18
0,0.4,0.003,363.05117594324906,G,18
0.2,0.2.1,Inf,364.156071586482,H,18
0.2,0.2.2,0.012,390.33188225425033,F,18
0.4,0.4.1,0.002,467.70225580551283,G,18
0.2.1,0.2.1.1,Inf,367.3585702642491,G,18
0.2.1,0.2.1.2,Inf,1393.9435427704436,H,18
0.2.1,0.2.1.3,Inf,1696.8676786351948,G,18
0.2.2,0.2.2.1,0.014,644.2252685850232,F,18
0.4.1,0.4.1.1,0.002,478.4363135089527,G,18
0.4.1,0.4.1.2,0.005,741.2365371855368,G,18
0.4.1,0.4.1.3,0.001,998.5660837902668,F,18
0.2.1.2,0.2.1.2.1,0.009,2844.189651471983,F,18
0.2.2.1,0.2.2.1.1,0.0,2052.9188028912354,F,18
0.4.1.1,0.4.1.1.1,0.01,552.0123904551191,F,18
0.4.1.1,0.4.1.1.2,0.002,905.5912022442135,G,18
0.4.1.1,0.4.1.1.3,0.004,911.9373283316403,F,18
0.4.1.2,0.4.1.2.1,0.005,939.0985921797065,G,18
0.4.1.3,0.4.1.3.1,0.008,1018.9716937793381,G,18
0.4.1.1.1,0.4.1.1.1.1,0.002,1815.6052790632239,F,18
0.4.1.1.2,0.4.1.1.2.1,0.002,1051.128699650875,G,18
0.4.1.1.2,0.4.1.1.2.2,0.002,1435.6557242808433,G,18
0.4.1.1.2,0.4.1.1.2.3,0.003,1664.0572092304465,G,18
0.4.1.3.1,0.4.1.3.1.1,0.007,2431.8671094135316,F,18
0.4.1.1.2.3,0.4.1.1.2.3.1,0.008,2826.4082004764,G,18
0.4.1.3.1.1,0.4.1.3.1.1.1,0.004,2676.214957962384,F,18
0,0.1,Inf,2092.8244349913357,F,19
0,0.2,Inf,2233.6709543659513,G,19
0,0.1,0.007,111.90752053290295,G,22
0,0.2,0.01,202.1538161018348,G,22
0.2,0.2.1,0.011,1122.9759090772463,F,22
0.2,0.2.2,0.011,1819.0542205138117,F,22
0,0.1,0.005,207.518987007981,G,23
0,0.2,0.005,340.02108908841626,G,23
0.1,0.1.1,0.005,318.734531496028,G,23
0.1,0.1.2,0.002,378.54039909726356,G,23
0.2,0.2.1,0.0,377.8982475093183,G,23
0.2,0.2.2,0.0,467.18411032055036,H,23
0.1.1,0.1.1.1,0.014,1750.3694130195925,G,23
0.1.2,0.1.2.1,0.001,447.98535896631574,H,23
0.1.1.1,0.1.1.1.1,Inf,2752.2481520131882,G,23
0.1.1.1,0.1.1.1.2,0.008,2994.3664503518494,G,23
0.1.1.1.1,0.1.1.1.1.1,Inf,2871.207420173964,G,23
0.1.1.1.1,0.1.1.1.1.2,Inf,3620.07763767258,G,23
0.1.1.1.2,0.1.1.1.2.1,0.018,3389.7863475987897,G,23
0.1.1.1.2,0.1.1.1.2.2,Inf,4654.4648539685695,G,23
0.1.1.1.1.1,0.1.1.1.1.1.1,0.007,3443.119046831481,G,23
0.1.1.1.1.2,0.1.1.1.1.2.1,0.002,3814.5480931740253,G,23
0.1.1.1.2.1,0.1.1.1.2.1.1,0.01,3759.3068564968485,F,23
0,0.1,0.015,99.79232727454162,G,24
0,0.2,0.008,444.049776028767,F,24
0.1,0.1.1,0.009,158.3218945406109,G,24
0.1,0.1.2,0.01,1837.1429419463364,G,24
0.2,0.2.1,0.006,808.8047991031374,G,24
0.2,0.2.2,0.004,864.6104696563018,G,24
0.2,0.2.3,0.002,1111.1993420655513,F,24
0.1.1,0.1.1.1,0.002,193.15201122644933,G,24
0.1.1,0.1.1.2,0.003,542.7306223199442,G,24
0.1.2,0.1.2.1,0.005,1915.9092503766105,G,24
0.2.1,0.2.1.1,0.003,1146.8506885419708,F,24
0.1.1.1,0.1.1.1.1,0.001,240.64673174293378,G,24
0.1.1.2,0.1.1.2.1,0.004,1290.7623834945543,G,24
0.1.1.2.1,0.1.1.2.1.1,0.004,1831.4627078873839,G,24
0,0.1,0.004,746.7899707323903,G,25
0,0.1,Inf,535.5070341258452,F,27
0.1,0.1.1,Inf,702.9715837487364,F,27
0.1,0.1.2,Inf,2302.0658281891733,H,27
0.1,0.1.3,Inf,2700.0620929429588,F,27
0.1.2,0.1.2.1,Inf,2849.69202370156,H,27
0.1.3,0.1.3.1,0.004,3504.3478833707745,G,27
0,0.1,0.004,322.784639950909,G,28
0,0.2,0.018,524.6065433658213,G,28
0.1,0.1.1,0.003,326.3323270365081,G,28
0.2,0.2.1,0.0,3385.5911134486296,F,28
0,0.1,0.011,62.397510056357966,G,29
0,0.2,0.009,84.60165240717282,G,29
0,0.3,0.007,137.87500474717294,G,29
0,0.4,0.004,566.8884010367184,G,29
0,0.5,0.006,616.9472679869127,G,29
0,0.6,0.003,1028.197865702379,G,29
0.1,0.1.1,0.013,105.26153814564415,F,29
0.2,0.2.1,0.015,256.0683510656574,G,29
0.2,0.2.2,0.001,1562.983494539754,G,29
0.2,0.2.3,0.002,1930.6615559508125,G,29
0.6,0.6.1,0.0,1351.9872254464365,H,29
0.2.1,0.2.1.1,0.005,479.0394440560772,G,29
0.2.2,0.2.2.1,0.006,1719.2095751586683,F,29
0.2.3,0.2.3.1,0.0,2267.8467608686287,G,29
0.2.3,0.2.3.2,0.0,2286.551798566119,F,29
0.2.1.1,0.2.1.1.1,0.002,666.922780675903,F,29
0.2.1.1,0.2.1.1.2,0.002,687.3755590123361,F,29
0.2.1.1,0.2.1.1.3,0.005,879.9377726817736,F,29
0.2.2.1,0.2.2.1.1,0.015,1749.1213401752468,F,29
0.2.2.1,0.2.2.1.2,0.009,1876.6153480105545,F,29
0.2.2.1,0.2.2.1.3,0.01,1882.1134084340704,F,29
0.2.3.1,0.2.3.1.1,0.0,3484.5767610693824,G,29
0.2.1.1.1,0.2.1.1.1.1,0.0,809.9341359090781,F,29
0.2.1.1.2,0.2.1.1.2.1,0.0,831.0649136428257,G,29
0.2.2.1.2,0.2.2.1.2.1,0.006,1924.1721823730934,G,29
0.2.2.1.3,0.2.2.1.3.1,0.009,1983.8442000344064,F,29
0.2.1.1.1.1,0.2.1.1.1.1.1,0.005,915.0750886333091,F,29
0,0.1,0.002,144.69663425296332,G,30
0,0.1,0.003,792.8139614124422,G,31
0,0.1,0.001,1468.6868599795675,G,32
0.1,0.1.1,0.003,2019.341478999357,G,32
0.1.1,0.1.1.1,0.003,2112.07599636764,F,32
0,0.1,0.023,153.1595323860041,F,34
0.1,0.1.1,0.006,781.810649112945,F,34
0.1,0.1.2,0.011,1389.8638629524883,F,34
0.1.1,0.1.1.1,0.006,1105.3182739601727,F,34
0.1.1.1,0.1.1.1.1,0.005,1593.955335141793,F,34
0,0.1,0.001,227.44463013209437,G,37
0,0.2,0.006,404.1004904962404,H,37
0,0.1,0.004,854.5185557607574,G,39
0,0.2,0.003,1826.4919785681711,G,39
0.2,0.2.1,0.003,2076.7877071238227,G,39
0,0.1,Inf,1863.1315707208478,G,40
0.1,0.1.1,0.006,2398.899788511125,G,40
0,0.1,0.007,236.5054380677776,G,42
